channel,ch_index,peak_t,peak_time_s,peak_time_idx,meanA_at_peak,meanB_at_peak,nA,nB
FC5,21,1.8382867500046862,-0.20000000298023224,0,6.569538654743745e-08,-8.362800230088396e-08,4,3
FC3,22,0.8003221603796901,0.4639999970197678,664,-1.6917743295152832e-07,-8.101398994616223e-07,4,3
FC1,23,1.549316050325079,0.15099999701976774,351,-6.905231941800594e-08,-1.313099801336648e-06,4,3
FCZ,24,0.8048830229781905,0.4629999970197678,663,-2.98583884728032e-07,-9.265897962980792e-07,4,3
FC2,25,0.8932956596794712,-0.004000002980232231,196,-3.084590360913353e-07,-9.039491188171193e-07,4,3
FC4,26,1.690693056750435,-0.006000002980232233,194,-1.0643314851677133e-07,-1.00110055238171e-06,4,3
FC6,27,1.3218720258618735,-0.010000002980232237,190,-2.7749820219469257e-08,-5.367911152613184e-07,4,3
FT8,28,2.076806882889501,-0.20000000298023224,0,-1.0130302152688841e-07,-2.3635725672950988e-07,4,3
FT10,29,1.8419201904903826,0.042999997019767755,243,3.4585880825943605e-08,-2.212328089020351e-06,4,3
T9,30,3.123483124582188,-0.039000002980232235,161,-3.4236764534512076e-08,-1.0643268145334635e-06,4,3
C5,31,1.485679103142075,0.3489999970197678,549,4.990639013158216e-09,-1.134503709939357e-06,4,3
C3,32,2.239823396984861,0.4609999970197678,661,1.3527411546476742e-07,-1.0783264533150334e-07,4,3
C1,33,-1.0081405818449636,-0.20000000298023224,0,-1.5451144452782728e-07,-4.102855433174568e-08,4,3
CZ,34,-3.7890290625878054,0.3249999970197678,525,-1.8851201222247482e-07,3.257963498981553e-07,4,3
C2,35,0.6207466384361935,-0.012000002980232238,188,-4.5448452112850646e-07,-8.814182166361206e-07,4,3
C4,36,-2.1712491531590015,0.4609999970197678,661,-1.3682071076104307e-07,1.0640212562880909e-07,4,3
C6,37,1.5227103980328054,-0.20000000298023224,0,-4.772477524284113e-08,-1.2510444946656207e-07,4,3
T10,38,4.616716985025128,0.08999999701976774,290,-5.666404234716538e-09,-8.277485790131323e-07,4,3
TP9,39,1.654054027493008,0.08899999701976774,289,1.1324647175570135e-07,-1.278282212524573e-06,4,3
TP7,40,1.6326512307264311,0.08899999701976774,289,-5.024498506145392e-08,-9.876062942263768e-07,4,3
CP5,41,1.610599606927618,0.08899999701976774,289,-1.4574856810334325e-07,-8.851132899205064e-07,4,3
CP3,42,0.9871691763377005,0.01899999701976776,219,3.1178377213336717e-07,-1.2770036050824274e-07,4,3
CP1,43,1.061696233185006,0.20799999701976774,408,-4.017989532201227e-07,-1.115863557998864e-06,4,3
CPZ,44,0.7287926003982196,0.21099999701976774,411,-5.707097585627707e-07,-1.0135822681907787e-06,4,3
CP2,45,-0.7180534579963483,-0.20000000298023224,0,-8.734882683825163e-08,-5.351763180764616e-08,4,3
CP4,46,-0.6359782888942979,-0.20000000298023224,0,-4.3472675237410385e-08,-5.231019173379536e-09,4,3
CP6,47,1.1791608442058639,-0.017000002980232243,183,-2.3805336724080917e-07,-7.234480037254798e-07,4,3
TP8,48,1.2489612290751242,-0.021000002980232246,179,-1.2115778424970358e-07,-5.967575435287623e-07,4,3
TP10,49,3.930100021737384,-0.021000002980232246,179,-1.1916227116159916e-07,-1.0358682326720252e-06,4,3
