HF,LF,LF/HF,RMSSD,SDNN,SampEn,is_N1,is_N2,is_N3,is_R,is_W,subject_id,trans_L_W,trans_N1_N2,trans_N1_N3,trans_N1_R,trans_N1_W,trans_N2_N1,trans_N2_N3,trans_N2_R,trans_N2_W,trans_N3_N1,trans_N3_N2,trans_N3_R,trans_N3_W,trans_R_L,trans_R_N1,trans_R_N2,trans_R_N3,trans_R_W,trans_W_N1,trans_W_N2,trans_W_N3,trans_W_R,window_id
-6.565344090893815,-6.435495373255932,1.1387546352939233,62.84779813190109,98.0481298972334,1.510362314233515,0,0,0,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6
-6.1724606289920505,-4.762537758414783,4.097124147997725,98.60031624809096,158.71891501212633,1.0605203082976653,0,0,0,0,1,16,1.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7
-6.044753934106599,-6.475430030177706,0.6499217408295066,87.32719059126146,82.23550813918327,1.7076911951390223,1,1,0,0,0,16,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8
-5.869213177745713,-5.5558895509529655,1.368094463785096,92.5056960271239,133.5631308816784,1.3047473580041362,1,1,0,0,0,16,,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9
-5.931037034659051,-6.440390625598625,0.6007335283648529,98.50666859854154,109.20343001511112,1.7659252656732916,0,1,0,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10
-5.910836364613733,-6.724930616172369,0.4428348267479022,90.91790568295028,104.5494514892782,1.4637923651601157,0,1,0,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11
-5.556165283427581,-7.153105095153928,0.2023088405476694,101.75521483350212,88.07022351388052,1.6402097386180754,0,1,1,0,0,16,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12
-5.6706634119482215,-7.265409583658229,0.2027286492837285,99.59723809456972,83.92979340968932,1.5845480585183287,0,0,1,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13
-5.691313796127879,-6.865772190598362,0.3087814870251401,93.77608727955518,82.4974857896175,1.6232273429025748,0,0,1,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14
-5.939455689777703,-6.818319446033316,0.4150323453195782,87.01343982213209,77.18338546747925,1.7567797503320282,0,1,1,0,0,16,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,15
-5.871535989787878,-6.894730131190331,0.3592176410507687,82.55137171459033,75.42080352618116,1.5991062153822964,0,0,1,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16
-6.229417897667902,-7.203535341247856,0.3772093526939928,66.94881399258512,81.42091886431051,1.3961326929353035,0,0,1,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17
-5.873665868781658,-4.900792949944151,2.6461192341516813,97.14649474606584,121.47570768321351,1.260297396208978,1,1,1,0,0,16,,1,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,18
-6.102498961735337,-5.749161468275666,1.4240011066474696,77.9213746927364,94.83608614664996,1.323589861019845,1,1,0,1,0,16,,0,0,0,0,0,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,19
-7.800833777655855,-7.315233852960263,1.6266804371688284,35.00566964387971,58.94005750967244,1.5088049434895072,1,0,0,1,1,16,,0,0,1,1,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,20
-7.874151131878458,-6.771287623495432,3.018085251220957,34.084117035986544,58.71491234040467,1.38583027331707,1,0,0,1,0,16,,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,21
-6.408075487872007,-6.382278400195187,1.0261485773679428,58.273873972417285,129.4706001919608,0.6418027365854165,1,1,0,1,1,16,,1,0,0,1,1,0,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,22
-6.390264419980667,-6.895579173190418,0.6030790795136775,67.8609304560056,71.84745210504394,1.692084332539747,1,1,0,0,0,16,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23
-6.059408264907836,-6.953798464458311,0.4086036539228568,72.50381763348248,83.6434084603367,1.3568221175347766,0,1,0,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,24
-6.09092613720353,-6.8987860629297,0.4455661492201136,73.54524478373673,97.80965573926969,1.3235966163506496,0,1,0,0,1,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,25
-6.144490260504974,-7.0178413980825605,0.4172783037370752,74.29757755783699,68.43758705189718,1.5528084889664822,0,1,1,0,0,16,,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,26
-6.12439726205018,-6.33404012611267,0.8107873409872832,76.44149094872934,79.19367386465997,1.5060082720624102,0,1,1,0,0,16,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,27
-6.008654246221764,-6.036105378299435,0.9729112026912268,83.94725977800606,99.93069336827774,1.4032783243152285,0,1,1,0,0,16,,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,28
-5.766726364122939,-6.523806784708424,0.4688641187366071,95.81730300719316,90.9299429827696,1.6498871219059272,0,1,1,0,0,16,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,29
-5.624180979652003,-5.529086563220432,1.0997903323338851,109.0137037995069,151.1849683362542,1.2022995786388733,1,1,0,0,0,16,,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,30
-6.030126930782962,-6.282579592390348,0.7768001895400701,85.40609985678913,80.62132686416471,1.6294642596125426,0,1,0,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31
-6.271630087180498,-6.613391841836352,0.7103641463123673,71.62552481804777,69.87422278135222,1.5616578762114808,0,1,1,0,0,16,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,32
-6.264473098355629,-6.626247691956129,0.6962797074013385,70.07447144016284,88.84199523071192,1.3990126425248566,0,1,1,0,0,16,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,33
-5.963079565480732,-6.073244782844591,0.895645566576519,84.5061854813154,100.28457427569528,1.3004132143103024,0,1,0,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34
-6.146405560265627,-5.508527179862472,1.8928785396708487,79.76389185033763,105.93722587578776,1.4154825446195354,1,1,0,0,0,16,,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,35
-6.037330948717555,-7.0038887019114044,0.3801305988764223,76.28688631992557,70.774135923113,1.5479961567090557,0,1,0,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,36
-6.00137356277178,-6.171009209199133,0.8439092068178332,76.46476708952109,78.1967423464182,1.5746237335924291,1,1,0,0,0,16,,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,37
-7.6019139787568015,-7.085534335786116,1.677305100046417,38.3117868384121,56.20167726834214,1.2869965864306003,1,0,0,1,0,16,,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,38
-6.985509810702605,-7.365398087871969,0.6835958286513993,51.83962657523005,82.50520009177355,1.2141909929129044,1,0,0,1,0,16,,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,39
-8.294872401591125,-8.052042182428396,1.275956896422336,31.03140256592076,44.87757673361072,1.4907253870037094,0,0,0,1,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,40
-6.088453511328986,-6.389224837532255,0.74013249467369,80.35181263121993,108.3806449199756,1.2271804749739956,1,0,0,1,0,16,,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,41
-6.578798601590305,-7.616387028809755,0.353843069797794,62.67410939349184,89.964042481717,1.5364334901440737,1,0,0,1,1,16,,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,42
-6.092645626111491,-5.603168796179093,1.6317420675402738,82.72825630749546,96.92017129513204,1.3298339057797468,1,0,0,1,0,16,,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,43
-6.430133124322424,-6.475586671379298,0.9555364114702612,77.60471036880288,92.81368233006432,1.6704449929712464,1,0,0,1,0,16,,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,44
-5.307678690569887,-5.490731243139233,0.8326906161857502,135.2274604115264,152.52153068314328,1.0929684463396578,1,1,0,0,1,16,,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,45
