HF,LF,LF/HF,RMSSD,SDNN,SampEn,is_N1,is_N2,is_N3,is_R,is_W,subject_id,trans_L_W,trans_N1_N2,trans_N1_N3,trans_N1_R,trans_N1_W,trans_N2_N1,trans_N2_N3,trans_N2_R,trans_N2_W,trans_N3_N1,trans_N3_N2,trans_N3_R,trans_N3_W,trans_R_L,trans_R_N1,trans_R_N2,trans_R_N3,trans_R_W,trans_W_N1,trans_W_N2,trans_W_N3,trans_W_R,window_id
-6.330092543309247,-5.4814975158554295,2.337112419312658,91.91798359856078,113.43215430854929,1.5695733138701726,1,0,0,1,0,4,,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,71
-6.588068781629666,-5.342749401755365,3.475842556362399,88.7663465829907,161.65207307685066,1.1489649738456034,1,0,0,0,1,4,,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,72
-7.074688944895297,-6.758946210597792,1.371716676221477,73.46716008600004,89.20821545428142,1.5982869761461154,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,73
-6.71080745931001,-6.151331802778,1.7503710170303657,80.45557780519798,137.90592019548257,1.2341569286066782,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,74
-7.125344184143017,-6.094686283005064,2.8051532079519585,70.11314956189402,110.12652681448743,1.4595121659611523,0,0,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,75
-3.8259169092947176,-3.65787344814636,1.1829964184807475,289.18427110832,290.0772025902598,0.5460789184301575,0,0,0,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1
-7.404418696602111,-6.856657014730661,1.7305782925243076,48.02494895286623,71.39239562655031,1.6195166660078208,0,0,0,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2
-7.5439701447862175,-7.3688321003674355,1.1917729926407286,43.58520667939908,51.5786752134796,1.6587635159091787,0,0,0,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3
-7.196245233875104,-7.111972443814428,1.0880431143274816,48.7938896355655,69.482358642164,1.549783962537463,0,0,0,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4
-6.635274934654471,-6.891734833327628,0.7736136331920866,72.35194862110524,119.25876745850763,1.2193804880757797,0,0,0,0,0,16,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5
